"","X790.0536","X794.7252","X808.7291","X809.0608","X811.7589","X816.4207","X816.4316","X819.0855","X820.0908","X821.7515","X822.4221","X827.7482","X827.7538","X835.1063","X838.4127","X841.0989","X841.7518","X845.4242","X847.1079","X849.098","X851.4247","X851.7558","X852.4102","X855.4185","X856.0987","X856.4202","X858.094","X858.755","X860.7595","X860.7712","X862.0897","X863.4264","X864.077","X864.4331","X865.4311","X870.4332","X877.7615","X885.1099","X894.4415","X895.1213","X913.4478","X943.7875","X965.4916"
"data143_2220020_1",9.776280645,0.419982827,0.123171112,1.099343409,28.41426839,0.270821121,1.00454571,0.525606714,0.215552963,0.019391232,0.033708231,0.534320352,0.265456351,0.881276989,0.177732662,0.022021428,0.202770385,3.608071122,0.018957074,0.010934358,70.41118432,90.44983901,0.016044814,0.073088484,2.798413191,0.008263076,0.085766005,0.773917077,0.037392469,0.218212874,0.013022443,0.057501892,0.199981358,0.011578578,0.044030859,5.913428949,0.030531743,0.041120526,0.311463542,0.348698699,0.25814727,0.098376304,0.631600786
"data143_2220020_2",9.414132436,0.531104007,0.139665546,1.33904346,31.5497069,0.323413904,1.23319227,0.473678663,0.348637047,0.039320426,0.007809265,0.287643408,0.368218802,1.774677099,0.233735875,0.024394362,0.238743119,3.525325488,0.012727167,0.014920017,75.47387683,98.2463564,0.034336474,0.082626548,3.154060798,0.031696159,0.044693285,0.595763197,0.037226226,0.245708468,0.01339429,0.063982197,0.062730051,0.020612323,0.034403442,6.260120963,0.027905528,0.009649315,0.39083801,0.444617935,0.306403217,0.037424781,0.578093468
"data105_2220058_1",10.3732144,0.851438572,0.04496178,0.935207252,32.23785055,0.23223902,1.212752525,1.17118,0.541966865,0.017371958,0.069952817,0.607579294,0.326053494,2.149327414,0.235059509,0.01503922,0.331358716,0.209267814,0.146535253,0.044689272,71.06019307,96.70323532,0.063901905,0.046730988,7.534076716,0.017350644,0.271991612,2.57879975,0.066227422,0.220853032,0.01784251,0.193080643,0.745118522,0.039696826,0.027715784,4.622332231,0.196699415,0.027860404,0.437190526,0.418210293,0.294237583,0.040142025,0.966855789
"data105_2220058_2",11.58490542,0.756664698,0.082457012,1.165347684,35.34087023,0.273910463,1.243988073,1.75720283,0.634190223,0.009670611,0.034701331,0.626574055,0.395259579,2.098108185,0.254760593,0.016211226,0.355070499,2.443005566,0.047401266,0.017483002,69.21212365,50.51440571,0.064676974,0.045249959,3.213504245,0.060551952,0.244512963,2.102719525,0.046266377,0.205242991,0.042831495,0.156446164,0.397885366,0.036861087,0.054110777,6.082251068,0.093931521,0.029620455,0.269752929,0.394470509,0.223901255,0.084463754,0.50775753
"data134_2221056_2",9.74495904,0.725981306,0.070701557,1.631795334,32.53921743,0.27228387,1.170461423,0.44543865,0.240427496,0.029416936,0.020466583,0.405928887,0.481173072,2.660505809,0.152611413,0.005267387,0.282470577,3.594112215,3e-05,0.011998929,68.95152052,91.21311828,0.022074213,0.057567691,6.462298086,0.045527318,0.175365621,0.740646627,0.019162387,0.436780934,0.036749813,0.01696523,0.160443088,0.016903263,0.066485421,8.553920767,0.088599844,0.01188286,0.317387498,0.392871609,0.352849291,0.118344843,1.338759378
"data134_2221056_1",8.389099045,0.493123996,0.065274889,1.235479286,23.362773,0.257998969,0.9854025,0.394302985,0.178318184,0.041586294,0.037283852,0.38039723,0.351506428,1.949818715,0.12103226,0.012629859,0.219850777,2.854111416,3e-05,0.020101057,52.51617524,71.53778059,0.043179222,0.051620775,2.706838919,0.047331498,0.308879669,0.779688798,0.018878555,0.384864578,0.018376982,0.024172278,0.135015643,0.041850748,0.049979331,6.293866257,0.022111338,0.007427597,0.255687182,0.311426062,0.243831271,0.076882586,1.684994032
"data101_2221192_2",6.715062328,0.338852186,0.042675819,0.916897941,16.91031932,0.189557121,0.617718958,0.521833219,0.13543557,0.010507365,0.030381388,0.298960714,0.273973135,0.631806946,0.184851178,0.022978629,0.100820375,3.135602102,0.007050011,0.039251804,50.54578482,60.03491436,0.03250797,0.067764891,2.304439592,0.01359338,0.726648625,0.979796894,0.016805063,0.229772115,0.008885082,0.045962953,0.172388457,0.060610003,0.031572177,4.604301366,0.064357718,0.022078861,0.258903688,0.323326867,0.174294486,0.101625766,0.53148148
"data101_2221192_1",6.99659652,0.415035831,0.055524023,1.019432484,18.22130704,0.218758383,0.617210839,0.618486056,0.35891757,0.037908875,0.033760064,0.429153865,0.308467848,0.69383508,0.16950198,0.016828715,0.180881205,3.686216107,3e-05,0.04401876,54.60153164,67.72844459,0.043945093,0.039469882,2.508556752,0.017984923,0.377158302,1.481352356,0.051516629,0.098181213,0.031107221,0.104911981,0.202369682,0.066002119,0.083267255,4.842514778,0.082902429,0.015974701,0.323719028,0.278961622,0.178146597,0.078176612,0.835717016
"data100_2221209_2",7.07392378,0.524978143,0.010549293,0.939587976,26.30243925,0.327442072,1.035811211,0.821896183,0.545234447,0.033251654,0.019705456,0.399914109,0.412998247,0.795406568,0.13958183,0.009305833,0.126545656,3.237050835,3e-05,0.018010245,44.19577597,53.61093086,0.092169502,0.019543722,2.302906976,0.022160845,0.116941742,1.141395237,0.019323103,0.167881256,0.027891185,0.124961832,0.221507655,0.038880871,0.023623216,4.744140202,0.118113263,0.020737282,0.315244529,0.40189434,0.235712525,0.059156944,0.362590463
"data100_2221209_1",6.759658232,0.299021974,0.048464119,0.916245906,22.72936594,0.259563107,0.8702519,0.678026126,0.338401238,0.016455826,0.050896316,0.267901948,0.336249428,0.49435754,0.126430869,0.040283695,0.09172422,2.644895495,0.01264979,0.02289172,44.58562317,57.05924569,0.0577238,0.021036084,2.347006494,0.046528977,0.127329293,0.73401074,0.010024084,0.156598632,0.011182717,0.076027613,0.188019853,0.041008242,0.03285642,5.054373645,0.133392461,0.012554578,0.374693838,0.346135573,0.184001493,0.09313959,0.493266741
"data79_2221241_1",5.509173197,0.350555898,0.024901737,1.034692393,22.71354676,0.282820233,1.530558099,0.386765307,0.129197332,0.019901752,0.008542173,0.273484354,0.502876493,3.746397405,0.014170654,0.005361079,0.209978764,1.828697291,0.048157049,0.009928896,43.44176407,49.12826035,0.043868164,0.07180517,2.589697231,0.014589563,0.335958895,0.449042419,0.005421551,0.457597452,0.037979691,0.021259256,0.049929324,0.033993264,0.013305421,5.375363209,0.040778777,0.014598739,0.234962326,0.30391893,0.110659439,0.313175966,1.381529756
"data79_2221241_2",7.539937904,0.56768382,0.051554693,1.086496596,27.73481671,0.428808172,1.414776313,0.443285583,0.150602314,0.026366836,0.063007728,0.360411054,0.833423745,3.430148988,0.174627577,0.009864157,0.245964674,1.918753,0.072395044,0.039199019,55.41450395,72.16363941,0.043497951,0.027809358,2.811541244,0.011768471,0.397612483,0.550938479,0.015052076,0.376814908,0.065573265,0.112000027,0.096538845,0.019887843,0.040255283,5.564113719,0.064380981,0.021214677,0.264624615,0.311043226,0.196748701,0.224824681,1.693202078
"data115_2221336_2",7.670766785,0.619970051,0.071363019,1.034258926,31.84234008,0.321252361,1.388542416,1.173378183,0.494240104,0.026226056,0.047580605,0.357298571,0.251435239,0.907684573,0.187178714,0.010267618,0.150934015,1.379366908,0.014047624,0.042043237,58.24066968,66.2354569,0.022655228,0.063266368,5.681751451,0.008288758,0.172310831,1.017895773,0.039474315,0.266693262,0.030650013,0.023140466,0.073853069,0.014973479,0.039444695,5.01928332,0.03964176,0.007234168,0.268885723,0.342683,0.291777858,0.173819806,0.901895096
"data115_2221336_1",8.475125703,0.711440293,0.03443226,0.984420102,30.92830247,0.299544875,1.327282192,1.170562683,0.557100137,0.014390745,0.028663474,0.363695032,0.234067112,1.414165505,0.165983362,0.01127833,0.194551957,1.420515377,0.101342164,0.014141385,65.9799705,82.94805635,0.022764399,0.043693601,6.570552008,0.029263977,0.351297423,1.320728745,0.01360976,0.512733299,0.015855189,0.090258405,0.295126396,0.053201714,0.045376588,5.456500034,0.11717292,0.017104928,0.277311685,0.405011842,0.274015342,0.035086093,1.166489096
"data99_2221350_1",13.72218149,0.608271889,0.068249989,1.04034051,30.79929633,0.353691915,1.296548009,1.05254157,0.506764496,0.040907122,0.055156689,0.498704565,0.3158303,1.2026273,0.108502901,0.018808973,0.389306277,1.306285429,0.014933434,0.011554562,92.17120025,97.83944622,0.021966948,0.030083429,4.39497942,0.015782441,0.378439915,4.035262943,0.165916651,0.340424701,0.008291898,0.243155982,0.950560722,0.053367062,0.108845444,5.559814706,0.116421883,0.021854114,0.385785969,0.474043399,0.288747633,0.122128249,0.926617119
"data99_2221350_2",11.82592685,0.682516528,0.064849522,1.174334086,31.6688719,0.330103963,1.112912531,1.518060863,0.649175093,0.032411013,0.045980555,0.392068105,0.322925684,1.148412982,0.054107742,0.025692532,0.336152739,1.387057043,0.053619082,0.031976376,68.27462832,76.44210262,0.0370754,0.081696785,3.402206131,0.009284279,0.140885598,1.598918523,0.064482597,0.32830036,0.043825682,0.134300772,0.338544681,0.01627675,0.019105693,5.063082738,0.09325346,0.012689298,0.288107444,0.30067008,0.304063457,0.119930088,0.726684069
"data119_2221587_1",15.1683052,0.720699532,0.06486236,1.499002019,56.48531766,0.674554547,2.332226871,1.927597141,0.507669226,0.035921227,0.030557642,0.86552723,0.848441096,4.309872686,0.211621265,0.010525332,0.346095265,2.250220015,0.351444093,0.033062545,102.8081835,115.5883284,0.052999567,0.118331524,4.39097927,0.06207108,1.006499351,1.366844395,0.033411349,0.635847433,0.042618771,0.085001924,0.204171852,0.038975735,0.052449052,7.632418205,0.086455496,0.009290303,0.398248229,0.550859991,0.278488228,0.583299186,2.686893522
"data119_2221587_2",11.15588706,0.541023383,0.018247162,1.163341455,37.12596101,0.384534329,1.474894242,1.039633682,0.340655584,0.020110398,0.034712828,0.468184716,0.652745861,3.315017068,0.172208894,0.016443094,0.226851774,1.394539583,0.128192098,0.015485411,73.39326181,92.57109684,0.016712073,0.048417902,3.207420481,0.025431974,0.664889429,1.255149618,0.025871294,0.483954892,0.028291601,0.087106243,0.073635408,0.062192915,0.068502866,6.314817389,0.079261023,0.021566203,0.434140568,0.441487644,0.126399267,0.089746921,1.494610507
"data111_2221765_2",16.54180605,1.116386343,0.097425645,2.056978335,52.84467146,0.218072372,2.071356397,1.943578192,0.85995674,0.038255275,0.012711199,0.705243457,0.369732448,1.953409762,0.393124418,0.015387326,0.499358225,3.824021573,0.060031166,0.046858836,122.1919261,131.8087659,0.037031509,0.048246236,11.04808754,0.041468004,0.569315903,2.833197306,0.052753704,0.25061872,0.007094523,0.138276216,0.510592745,0.042683399,0.073397123,11.96448822,0.210895097,0.028228135,0.426754603,0.737211696,0.38987654,0.124531034,0.693327098
"data111_2221765_1",11.1533124,0.682317212,0.053505825,1.597402186,35.08632868,0.179441016,1.380589171,1.639219446,0.808961765,0.073526266,0.024046933,0.572805936,0.262153876,2.313270182,0.257740708,0.022689216,0.285364,2.932187766,0.046585215,0.03218329,82.81816208,106.9368774,0.051259499,0.029753173,4.557786092,0.029650383,0.532270531,3.542605626,0.035670506,0.211320966,0.009505865,0.339852805,0.977274939,0.058408314,0.037723526,8.116041074,0.315651549,0.018798546,0.575200683,0.532498933,0.229557214,0.041170087,0.698530489
"data112_2222094_1",15.14505361,0.670065687,0.120945294,1.713823893,58.43400269,0.369829856,2.298630644,2.161142385,1.229117423,0.032021873,0.050754795,0.947650692,0.375536818,1.491674835,0.264663139,0.028364091,0.412262741,4.228038493,0.336730847,0.049634725,107.1253744,122.3973806,0.055506212,0.160382055,4.329820408,0.02203137,0.499847769,4.579980657,0.043746439,0.401195749,0.043708724,0.27416135,1.399463853,0.091743355,0.054921038,10.36746264,0.480344404,0.020332456,0.524327227,0.691385277,0.503534379,0.135619763,1.413412416
"data112_2222094_2",8.286708206,0.69037801,0.071522838,0.913354054,37.34865783,0.335051595,1.368906728,1.11792314,0.495660487,0.012676626,0.016440181,0.323017428,0.330822641,0.998509816,0.186652977,0.01140158,0.306661524,2.427340365,0.193652935,0.035015321,66.8945703,79.80082229,0.060373346,0.066681948,2.915105552,0.023592377,0.525911579,1.084570296,0.029118917,0.225202452,0.014940371,0.090109603,0.265021459,0.026001434,0.020708909,5.714333372,0.052081041,0.010788516,0.3971898,0.499951621,0.240829671,0.10493506,0.755446868
"data120_2222253_2",8.033950922,0.855045893,0.053889671,1.315084143,22.90660095,0.200069874,0.878473751,0.78814393,0.389968656,0.024163015,0.017750113,0.357342076,0.324344421,1.427956499,0.222335057,0.037414718,0.212555952,1.087955906,0.035130529,0.014692395,62.0566996,78.3304917,0.052161952,0.040584067,4.388803161,0.049892428,0.209302935,1.374907067,0.012819331,0.430609457,0.031358794,0.115739602,0.362531713,0.017158919,0.042504367,6.025549426,0.104670479,0.043114926,0.39572004,0.453359225,0.299714058,0.114046558,1.316607371
"data120_2222253_1",8.117512468,0.819120803,0.077936731,1.180341317,20.65586225,0.305040804,0.889655587,1.312414665,0.453302965,0.026217173,0.047416538,0.388966611,0.359132657,1.547173303,0.214646205,0.0207578,0.225854168,2.176612616,0.006858118,0.017493147,58.23265007,65.88873007,0.032363597,0.025934096,3.698207531,0.012461522,0.248543747,1.658855168,0.006094464,0.258824675,0.009029402,0.222242846,0.136614123,0.074249403,0.03498034,5.832956024,0.082028152,0.020037731,0.35103141,0.358715083,0.317579261,0.214123302,1.371273468
"data69_2222416_1",6.860678571,0.297836081,0.032842266,0.714569659,13.17958419,0.206988132,0.635832985,0.900164841,0.476014124,0.012838474,0.003940937,0.261297983,0.211477544,40.86045119,0.063982249,0.012364073,0.090569237,1.499271416,0.082440264,0.048310124,31.28472945,29.52327021,0.104517894,0.065804704,1.257362425,0.046285879,0.510077471,2.173891665,0.066391464,0.147113065,0.036099348,0.135705522,0.4093461,0.042968694,0.024594637,2.862502576,0.163676748,0.006934809,0.197551919,0.185662978,0.141903121,0.141442408,0.840014703
"data69_2222416_2",7.829790482,0.305205795,0.073482429,0.943311854,14.96988092,0.26162377,0.655334618,1.242739625,0.640477571,0.015218264,0.015673747,0.444638084,0.289439899,45.05384034,0.153393963,0.010096084,0.148838041,1.580016348,0.155445495,0.034806251,35.37071076,32.10033763,0.091246715,0.034280717,1.487928613,0.019579685,0.8831076,2.819005217,0.116467093,0.181091645,0.020015857,0.177374285,0.474321431,0.167639773,0.053394333,3.305872701,0.143286873,0.016046214,0.210131097,0.253408808,0.095766045,0.07189737,0.82616207
"data109_2222529_2",10.32368714,0.531730493,0.090752646,1.128367977,28.56527209,0.394531514,1.318824794,1.645791217,0.653213822,0.040477067,0.327104995,0.492260402,0.50592058,2.833300892,0.192592589,0.00903369,0.273872215,2.443609012,0.215025079,0.020085777,64.36367688,50.11228507,0.076802175,0.046244146,3.506958722,0.026208376,0.032302688,2.350298224,0.041648759,0.20287887,0.034331676,0.141027208,0.665763813,0.03322252,0.03227232,4.859685125,0.213734833,0.016545526,0.401846482,0.479721466,0.299543645,0.12299846,0.920770411
"data109_2222529_1",29.26190241,1.876166602,0.339631149,2.578153013,88.75589129,0.882405968,3.436014515,2.555741009,1.126193452,0.124030593,0.220275894,1.399019391,1.177151982,11.70123267,0.88384649,0.028548684,1.00997065,6.760388087,0.391278677,0.115001101,222.3132657,267.4158425,0.205553799,0.25579449,10.95955251,0.077570854,1.593948639,4.096770286,0.048580584,1.066528834,0.059622963,0.317239525,0.63295103,0.152091941,0.064139608,12.38833476,0.152805713,0.080060866,1.198132577,1.339909986,0.713814237,0.489339539,2.460973095
"data132_2222563_2",7.998303663,0.32429112,0.106606717,0.916579735,25.89998938,0.402464389,1.012391101,0.332256793,0.116771045,0.005838875,0.05426024,0.359021066,0.396828463,2.568623406,0.230485997,3e-05,0.153185772,4.228474169,0.012418654,0.037195108,58.51696951,66.90473857,0.060546318,0.068996203,2.307032157,0.012856702,0.303252498,0.636687037,0.026446858,0.209415312,0.010036495,0.034472241,0.178118346,0.045595256,0.036789622,3.82217571,0.044274468,0.056903702,0.218868342,0.290355959,0.211116556,0.064796862,0.99660595
"data132_2222563_1",7.302915334,0.336101067,0.107032223,0.841129631,23.39911677,0.261885428,0.813457274,0.427522911,0.144200828,0.018832229,0.045512752,0.345848239,0.341802392,2.309786936,0.233475774,3e-05,0.135593333,4.196989953,0.013219422,0.0356124,55.65575342,70.5736442,0.047126464,0.043394098,2.06234741,0.009191457,0.093864157,0.680872519,0.042892723,0.174721759,0.015342107,0.028410282,0.139034619,0.039790536,0.022467911,4.198010964,0.013185639,0.013828173,0.280588939,0.3028721,0.244594324,0.131341531,1.076696477
"data108_2222643_2",11.39359863,0.45248272,0.061742336,1.272734689,40.41525497,0.155758657,1.836290236,1.288009471,0.586062343,0.044587766,0.034712828,0.529452624,0.635864712,5.286558807,0.43605856,0.018360446,0.314044418,2.039231344,0.017713214,0.036280895,79.18601399,92.01304553,0.038782304,0.123461804,3.317554313,0.020770305,0.608046301,1.780889107,0.047114528,0.424315424,0.030831654,0.079662456,0.286343864,0.017256911,0.049965527,5.940449978,0.112291672,0.005826514,0.343674882,0.518400471,0.332458133,0.200204027,1.039100062
"data108_2222643_1",7.518788791,0.463386264,0.070111636,0.873261353,24.0916736,0.156549867,0.962067831,0.652477,0.293435992,0.028481669,0.102602104,0.334255062,0.398490432,2.733521966,0.199237647,0.020245436,0.176927803,1.327083642,0.003437934,0.03132943,48.92226869,62.1032874,0.018241093,0.05123198,2.185714271,0.012593531,0.093309835,1.110204055,0.014926887,0.239465549,0.03550987,0.057372338,0.220121278,0.019299427,0.032386959,4.195586514,0.04254393,0.005545085,0.28407044,0.305475636,0.18901113,0.183311661,0.779246394
"data98_2222870_1",10.05353156,0.507714196,0.053500063,1.348904391,23.78936871,0.23257492,1.035987129,0.867296215,0.481052749,0.014990802,0.005997903,0.482740906,0.306898226,0.590578682,0.191861611,0.006877927,0.22359732,1.97305101,0.317183752,0.034113894,69.16598995,87.93594773,0.066836216,0.051926436,3.215358072,0.0225533,0.33453461,1.49051039,0.02572869,0.239356335,0.010146587,0.07442239,0.3457918,0.054041945,0.029988737,5.671586761,0.156400451,0.009439554,0.32029736,0.432513334,0.274313111,0.101925419,0.652758175
