"","EPIC_ID","Analytical.batch","Extraction.batch","Gel.status"
"data143_2220020_1",2220020,2,"N","ok"
"data143_2220020_2",2220020,2,"N","ok"
"data105_2220058_1",2220058,2,"M","ok"
"data105_2220058_2",2220058,2,"M","ok"
"data134_2221056_2",2221056,2,"N","ok"
"data134_2221056_1",2221056,2,"N","ok"
"data101_2221192_2",2221192,2,"M","ok"
"data101_2221192_1",2221192,2,"M","ok"
"data100_2221209_2",2221209,2,"M","ok"
"data100_2221209_1",2221209,2,"M","ok"
"data79_2221241_1",2221241,2,"L","ok"
"data79_2221241_2",2221241,2,"L","ok"
"data115_2221336_2",2221336,2,"M","ok"
"data115_2221336_1",2221336,2,"M","ok"
"data99_2221350_1",2221350,2,"M","ok"
"data99_2221350_2",2221350,2,"M","ok"
"data119_2221587_1",2221587,2,"M","ok"
"data119_2221587_2",2221587,2,"E","ok"
"data111_2221765_2",2221765,2,"M","ok"
"data111_2221765_1",2221765,2,"M","ok"
"data112_2222094_1",2222094,2,"M","ok"
"data112_2222094_2",2222094,2,"M","ok"
"data120_2222253_2",2222253,2,"M","ok"
"data120_2222253_1",2222253,2,"M","ok"
"data69_2222416_1",2222416,2,"K","ok"
"data69_2222416_2",2222416,2,"K","ok"
"data109_2222529_2",2222529,2,"M","ok"
"data109_2222529_1",2222529,2,"M","ok"
"data132_2222563_2",2222563,2,"N","ok"
"data132_2222563_1",2222563,2,"N","ok"
"data108_2222643_2",2222643,2,"M","ok"
"data108_2222643_1",2222643,2,"M","ok"
"data98_2222870_1",2222870,2,"M","ok"
"data98_2222870_2",2222870,2,"M","ok"
"data68_2222989_2",2222989,2,"K","ok"
"data68_2222989_1",2222989,2,"K","ok"
"data116_2223150_2",2223150,2,"M","ok"
"data116_2223150_1",2223150,2,"M","ok"
"data110_2223299_2",2223299,2,"M","ok"
"data110_2223299_1",2223299,2,"M","ok"
"data148_2223487_2",2223487,2,"N","ok"
"data148_2223487_1",2223487,2,"N","ok"
"data104_2223490_1",2223490,2,"M","ok"
"data104_2223490_2",2223490,2,"M","ok"
"data84_2223534_1",2223534,2,"L","ok"
"data84_2223534_2",2223534,2,"L","ok"
"data67_2223538_1",2223538,2,"K","ok"
"data67_2223538_2",2223538,2,"K","ok"
"data144_2223663_1",2223663,2,"N","ok"
"data144_2223663_2",2223663,2,"N","ok"
"data106_2223678_2",2223678,2,"M","ok"
"data106_2223678_1",2223678,2,"M","ok"
"data97_2224244_1",2224244,2,"M","ok"
"data97_2224244_2",2224244,2,"M","ok"
"data136_2224282_1",2224282,2,"N","ok"
"data136_2224282_2",2224282,2,"N","ok"
"data121_2224759_2",2224759,2,"M","ok"
"data121_2224759_1",2224759,2,"M","ok"
"data113_2224776_1",2224776,2,"M","ok"
"data113_2224776_2",2224776,2,"M","ok"
"data114_2224779_1",2224779,2,"M","ok"
"data114_2224779_2",2224779,2,"M","ok"
"data95_2224825_1",2224825,2,"L","ok"
"data95_2224825_2",2224825,2,"L","ok"
"data96_2224825_1",2224825,2,"M","ok"
"data96_2224825_2",2224825,2,"M","ok"
"data65_2224907_2",2224907,2,"J","ok"
"data65_2224907_1",2224907,2,"J","ok"
"data107_2224929_2",2224929,2,"M","ok"
"data107_2224929_1",2224929,2,"M","ok"
"data82_2224968_1",2224968,2,"L","ok"
"data82_2224968_2",2224968,2,"L","ok"
"data117_2224972_2",2224972,2,"M","ok"
"data117_2224972_1",2224972,2,"M","ok"
"data152_2225334_2",2225334,2,"N","ok"
"data152_2225334_1",2225334,2,"N","ok"
"data131_2225406_2",2225406,2,"N","ok"
"data131_2225406_1",2225406,2,"N","ok"
"data87_2225673_1",2225673,2,"L","ok"
"data87_2225673_2",2225673,2,"L","ok"
"data83_2225916_1",2225916,2,"L","ok"
"data83_2225916_2",2225916,2,"L","ok"
"data88_2225925_1",2225925,2,"L","ok"
"data88_2225925_2",2225925,2,"L","ok"
"data90_2226071_1",2226071,2,"L","ok"
"data90_2226071_2",2226071,2,"L","ok"
"data137_2226177_1",2226177,2,"N","ok"
"data137_2226177_2",2226177,2,"N","ok"
"data64_2226191_1",2226191,2,"J","ok"
"data64_2226191_2",2226191,2,"J","ok"
"data150_2227520_2",2227520,2,"N","ok"
"data150_2227520_1",2227520,2,"N","ok"
"data93_2227940_1",2227940,2,"L","ok"
"data93_2227940_2",2227940,2,"L","ok"
"data75_2227978_1",2227978,2,"K","ok"
"data75_2227978_2",2227978,2,"K","ok"
"data86_2228112_1",2228112,2,"L","ok"
"data86_2228112_2",2228112,2,"L","ok"
"data146_2228130_2",2228130,2,"N","ok"
"data146_2228130_1",2228130,2,"N","ok"
"data147_2228700_2",2228700,2,"N","ok"
"data147_2228700_1",2228700,2,"N","ok"
"data91_2228702_1",2228702,2,"L","ok"
"data91_2228702_2",2228702,2,"L","ok"
"data92_2228773_1",2228773,2,"L","ok"
"data92_2228773_2",2228773,2,"L","ok"
"data145_2228791_2",2228791,2,"N","ok"
"data145_2228791_1",2228791,2,"N","ok"
"data118_2228797_2",2228797,2,"M","ok"
"data118_2228797_1",2228797,2,"M","ok"
"data141_2228808_1",2228808,2,"N","ok"
"data141_2228808_2",2228808,2,"N","ok"
"data126_2228919_2",2228919,2,"N","ok"
"data126_2228919_1",2228919,2,"N","ok"
"data71_2228926_1",2228926,2,"K","ok"
"data71_2228926_2",2228926,2,"K","ok"
"data70_2229118_2",2229118,2,"K","ok"
"data70_2229118_1",2229118,2,"K","ok"
"data129_2229121_2",2229121,2,"N","ok"
"data129_2229121_1",2229121,2,"N","ok"
"data127_2229262_2",2229262,2,"N","ok"
"data127_2229262_1",2229262,2,"N","ok"
"data149_2229264_2",2229264,2,"N","ok"
"data149_2229264_1",2229264,2,"N","ok"
"data138_2229312_2",2229312,2,"N","ok"
"data138_2229312_1",2229312,2,"N","ok"
"data140_2229313_1",2229313,2,"N","ok"
"data140_2229313_2",2229313,2,"N","ok"
"data130_2229665_2",2229665,2,"N","ok"
"data130_2229665_1",2229665,2,"N","ok"
"data142_2229798_2",2229798,2,"N","ok"
