"","coef","coef.se","pval","plate.id"
"IL8",0.0513980586003872,0.247976717379479,0.835825425233529,0.00360784986384485
"VEGFA",0.0359943911543635,0.116049667073629,0.756856345993137,0.0198554546795034
"CD8A",-0.368343386762996,0.341256683737643,0.281713918625623,0.0234547415297052
"MCP3",-0.161306406055398,0.116694454557711,0.167467021056375,0.00587031035474469
"GDNF",0.0371291104756187,0.082981138579393,0.655022889354056,0.0200884903899321
"CDCP1",0.48605114173185,0.0988385378937804,1.32814850125069e-06,0
"CD244",-0.0775923395061038,0.0795577370840607,0.329753296168414,0.0140712272243131
"IL7",0.0266517615136525,0.128866654592631,0.836158051402226,0
"OPG",0.0276196622211884,0.0817906838957603,0.735619751423823,0
"LAPTGFbeta1",-0.0615290956120106,0.102754983225227,0.550095650588002,0.0268126779344154
"uPA",0.0180717146839082,0.0895977437292486,0.840157168611418,0
"IL6",0.187932471614367,0.161206547894181,0.244165620041451,0.0271339096858191
"IL17C",-0.0579295379339274,0.0985378810247646,0.556703079032966,0
"MCP1",-0.0792465581528653,0.189643920315351,0.676310040000514,0.0161614306754235
"IL17A",0.0042961679483168,0.1307356989827,0.973785074686982,0
"CXCL11",-0.319706452964611,0.238650343820074,0.181661829758033,0.0107722986587833
"AXIN1",0.0965574659443606,0.168743501922894,0.567267587309097,0
"TRAIL",-0.0491173234090904,0.18437089883853,0.790055532087559,0.0189547615403613
"IL20RA",-0.0549767331928647,0.0887545312166937,0.535748794294601,0
"CXCL9",-0.372870496908597,0.217592086411255,0.0880465680765055,0.000476700550568655
"CST5",-0.0925088464482236,0.126850320157636,0.466002875582212,0
"IL2RB",0.100285866251758,0.100266193301421,0.317761323348334,0.000879345462543495
"IL1alpha",0.104963863183315,0.106334654781312,0.323926682657276,0
"OSM",0.101144977321501,0.160865768443195,0.530449200978571,0.0165845459276292
"IL2",-0.0511843205970873,0.06769872150813,0.449798464868435,0
"CXCL1",-0.201748796408745,0.277051201630688,0.467789433201259,0.00336731065017965
"TSLP",-0.101701845226202,0.0846412531440458,0.230013661619598,0
"CCL4",0.262238875402105,0.210778676822872,0.214517351472655,0.01040777089507
"CD6",0.191302238276555,0.120915268732324,0.114327875220438,0.0182894624580356
"SCF",-0.303930783867005,0.212680049377024,0.154093363505253,0.0293528602500218
"IL18",0.2109903360471,0.162234112659611,0.19397881406962,0.0141911290575959
"SLAMF1",0.0473767901891135,0.070678945040296,0.502797732708787,0
"TGFalpha",-0.0332723200331618,0.126926666003606,0.793696314010088,0.0303655922340107
"MCP4",-0.438536325664356,0.271469764557379,0.10710804453132,0.0260362970006005
"CCL11",0.0321183592444767,0.220914765242344,0.884711304508468,0.0141553860149911
"TNFSF14",0.147713269797837,0.140186975668648,0.292409299810018,0
"FGF23",-0.04645552641835,0.12188749403023,0.703132885544066,0
"IL10RA",-0.149534441544358,0.13324080949784,0.262170185290985,0
"FGF5",0.0251551341263204,0.0626338401669172,0.687996315177902,0
"MMP1",-0.420296716024475,0.258538813072594,0.104871029130471,0.020396515883179
"LIFR",-0.0187214641328983,0.0776916611910768,0.809775638600489,0.00860556028198288
"FGF21",-0.0856980794554349,0.251829917249932,0.733787839378604,0.00332276663513333
"CCL19",0.0949133237771886,0.290260406116948,0.743691591375763,0
"IL15RA",0.107728140344451,0.0733292726247505,0.142420199112236,0
"IL10RB",0.0336998201960289,0.0841924812428385,0.68899064810254,0
"IL22RA1",-0.0405567201652561,0.10618337092312,0.702528180912325,0
