"","coef","coef.se","pval","plate.id"
"IL8",0.150211524860211,0.218788911324785,0.492504561438445,0
"VEGFA",0.0481094990033819,0.106316722397029,0.651474376949771,0.0149276899363953
"CD8A",-0.50160699782307,0.311943718960145,0.108483398666588,0.00965821272290143
"MCP3",0.0258444760542878,0.110751954002944,0.815552622669142,0.00489915932591157
"GDNF",-0.0630643378888459,0.0808634728448724,0.435765836009214,0.014583328811339
"CDCP1",0.090388276064151,0.0921479306524241,0.327589823109623,0.0115851650999224
"CD244",-0.018835683330462,0.0759088415998571,0.804147255021939,0.00483266676578737
"IL7",0.064509114846601,0.119567711867064,0.5896049032,0
"OPG",0.0136215272033557,0.0759837065807395,0.85772963890782,0
"LAPTGFbeta1",0.0645290161792683,0.0974756991153008,0.508101770369097,0
"uPA",-0.103714700454171,0.0823303807114612,0.20827261705182,3.79812710684783e-19
"IL6",0.1161034249794,0.150495174918634,0.441148079903307,0.0227004631832931
"IL17C",-0.0369442237103208,0.0900001752992736,0.681481932882901,0
"MCP1",-0.0908758145790475,0.167741861581815,0.588061253515586,0
"IL17A",-0.0990100382532877,0.119432320084789,0.407328825065738,0
"CXCL11",-0.193117087176589,0.221858566213926,0.384307992391585,0
"AXIN1",0.0874949793513795,0.158866547396006,0.581889243270059,0
"TRAIL",-0.235972645990491,0.172685808610086,0.172355190107419,0.00583289769380662
"IL20RA",-0.0044452788627338,0.0866932965809988,0.959147122984955,0.00164990267024644
"CXCL9",-0.207572989222425,0.198166524933168,0.29525770899772,0
"CST5",-0.0634670377061712,0.116348624808819,0.585495184821091,0
"IL2RB",0.0884446523295595,0.0961114538737967,0.357776854562796,0.00532143836831301
"IL1alpha",0.0955979282440743,0.0937929539276296,0.308441515910553,0
"OSM",0.151066732996863,0.144380413649577,0.296003979582439,0.0310071766077647
"IL2",-0.0253328660699299,0.0619194082859928,0.682482366733942,0
"CXCL1",0.104547136913235,0.260643163226023,0.688371108895524,0
"TSLP",-0.0963312875011482,0.0794411079618866,0.225758922475834,0
"CCL4",-0.154972763858334,0.183750756442489,0.39930621361642,0.000240202938422387
"CD6",0.0509567512370084,0.109405310709342,0.641456078208162,0.0107536201569194
"SCF",-0.470071988842642,0.198580048555314,0.018380779365875,0.00389142579169182
"IL18",-0.127519590522487,0.144375094527782,0.37736273789679,0
"SLAMF1",0.032874234312654,0.0667386358174912,0.622367773657723,0
"TGFalpha",0.0419123546742248,0.115407013254605,0.716586306234601,0.0258721029316789
"MCP4",-0.0981027593052768,0.240124403741906,0.68290547098743,0
"CCL11",-0.1623220011508,0.204120300143424,0.426687772546933,0
"TNFSF14",0.0984361873316323,0.129036181229404,0.445843453028779,0.0128657190546415
"FGF23",-0.156244006243233,0.112906948569375,0.166982804152568,0
"IL10RA",-0.137846610625223,0.123427971247108,0.265162546980562,0.000600429159056451
"FGF5",-0.0668487529159484,0.0578230177232171,0.248089022652161,0
"MMP1",-0.179238588272753,0.236967686811466,0.449604857148158,0.0061203507403848
"LIFR",-0.0608361964356916,0.0737084914574203,0.409416428981163,0.00124265534350478
"FGF21",0.0728992694043561,0.23299248963867,0.754418075073637,0.0139604112537625
"CCL19",-0.1521654896008,0.260489672512218,0.559232792816993,0.00144309933974675
"IL15RA",0.10903213298974,0.0681012293787891,0.110011070289645,0
"IL10RB",-0.0561846709377649,0.0761805316906732,0.460978238757747,0
"IL22RA1",-0.0758228469512784,0.0976428223842352,0.437629522498378,0
"IL18R1",-0.0533735004644316,0.0884584775222171,0.547236743922456,0.00516053687479676
"PDL1",0.0156099360213151,0.0877289718796451,0.859064567832094,0.00785708468491732
"BetaNGF",0.0396962525311213,0.0308882280074071,0.199605729636749,0.00173933340742923
"CXCL5",0.141967210780783,0.318207552214019,0.655536654250823,0
"TRANCE",-0.0807556765029658,0.100985313934036,0.42410683256201,0
"HGF",-0.00079486892335355,0.0744047279649067,0.991481240131627,0.0189637068624057
"IL12B",-0.128897923529716,0.129305515951943,0.319177590407009,0
"IL24",-0.281267797461457,0.126360541157466,0.0267933619005819,0.000831452005319686
"IL13",0.021007554438143,0.168289072149467,0.900659085044836,0
"ARTN",0.200525269850944,0.10135914837445,0.048503769429975,0
"MMP10",-0.106842019329379,0.111109671075518,0.336570470854623,0
"IL10",-0.0891021069497349,0.140553225186655,0.52647752880779,0.0248306421082703
"TNF",0.0639554762466651,0.15349544232232,0.677236043286939,0.00738716705332979
"CCL23",-0.12332279180419,0.219016598421973,0.57346955913898,0
"CD5",-0.0471069827370432,0.0879670185929816,0.592646395121807,0.0118106436803722
"CCL3",-0.156629666408604,0.161140260780168,0.331368714979557,0
"Flt3L",0.0437220822549056,0.0833433975590108,0.600021210755774,0.00135458698131337
"CXCL6",-0.192449532068287,0.207713175681201,0.354553319519364,0.00800940710005244
