"","coef","coef.se","pval","plate.id"
"IL8",-0.0256964904524487,0.200055932332813,0.897796807733601,0
"VEGFA",0.133668711384294,0.106876458531024,0.21189262607735,0.00595976861109816
"CD8A",0.14445030215765,0.330012515318187,0.661706232177363,0.00719183295292839
"MCP3",0.123285538325466,0.110530023794657,0.268785733818642,0.00812299507686706
"GDNF",0.100770612059502,0.0791022775273893,0.203764284798079,0.00838235453953466
"CDCP1",0.217432455655116,0.0891523731355123,0.0151564908433145,0
"CD244",0.0617933445911044,0.0731017213951956,0.406273904479788,0
"IL7",0.0637392573925115,0.11896802072695,0.592194805313891,0
"OPG",0.118439478279831,0.0737838997859003,0.109094049205701,0
"LAPTGFbeta1",0.122206381663975,0.0962096175426138,0.206271032632691,0.00145198762864444
"uPA",0.142327138041469,0.0810581675624286,0.0797722957219979,5.92812348048514e-05
"IL6",0.503153077153184,0.154289637855947,0.00120957023026127,0.0238347853655772
"IL17C",0.154634397177174,0.0966951908689566,0.110425289135927,0
"MCP1",0.22918417767974,0.162936337783583,0.161549495446688,0.00141516596295061
"IL17A",0.045269611538157,0.121243704945416,0.708895533255781,0
"CXCL11",0.0311916284964711,0.220966953418326,0.887745370343964,0
"AXIN1",0.272437139894533,0.165561110689505,0.100513593826092,0
"TRAIL",0.126096209951238,0.173232954313199,0.467324889631359,0.00324104794307076
"IL20RA",0.0784887372935581,0.0853731796204781,0.35819691025516,0
"CXCL9",0.0965128116864022,0.204245016991053,0.636599103931881,0
"CST5",0.142293018340575,0.110870832970268,0.19987548005802,0
"IL2RB",0.132867847877497,0.0898349912917158,0.139797330074831,0.00294591251566655
"IL1alpha",0.111415272345335,0.0938067361268531,0.236052582951962,0.00841056152098453
"OSM",-0.039790741015936,0.143531467486624,0.783888680505659,0.0243110372460472
"IL2",0.0446687033028615,0.0630369985340199,0.478723632422203,0
"CXCL1",0.115321092632866,0.259732559299781,0.657088227795068,0
"TSLP",-0.0240553926386276,0.0783729751621692,0.758908727317589,0
"CCL4",0.129703673500747,0.189350171525897,0.493492677774535,0
"CD6",0.0067956035529754,0.110058568468852,0.950765767915772,5.36837432068227e-17
"SCF",0.024168693599112,0.187074373740735,0.897307912976562,0.0106636471666656
"IL18",-0.0316950514107821,0.144044225966411,0.825848307748199,0
"SLAMF1",0.0429763452318819,0.0661900083210035,0.516278838650392,0
"TGFalpha",-0.00983790999183891,0.118187272802433,0.933668360024238,0.00803991401162338
"MCP4",0.0901618787118944,0.244549004535419,0.712388207299262,0
"CCL11",0.265898074601215,0.207620716133214,0.200828450624451,0
"TNFSF14",0.00822482225369505,0.12225748061601,0.946445837616124,0.00244312898222804
"FGF23",0.0770313952699349,0.11457240041135,0.501506534836483,0
"IL10RA",0.140441303715084,0.128680318356494,0.275506139023939,0
"FGF5",0.0569712888012031,0.0604643234019984,0.346380498047155,0
"MMP1",0.145041148648784,0.231618353191099,0.531293819821263,0
"LIFR",0.166192312593309,0.073316455882282,0.0239128573212554,0
"FGF21",0.294539016819335,0.240697669864414,0.221597591317078,0.00877682538477458
"CCL19",0.424798196579375,0.264606539646201,0.109055693756268,0
"IL15RA",0.0911276620556029,0.0654197393359418,0.164212068180735,0
"IL10RB",0.0919670719564906,0.0755633059052686,0.22406051677139,0
"IL22RA1",-0.0510218151954449,0.0907327771433384,0.57500843062921,0.00679430885075159
"IL18R1",0.153211029119489,0.0876606488662592,0.0811628066691681,0
"PDL1",0.056005798624157,0.0864061341912607,0.517001209339787,1.24527699068915e-18
"BetaNGF",-0.00854778789030244,0.0261802345170058,0.744354205287073,0.000729583868368205
"CXCL5",0.00537736936729101,0.321372608459336,0.986650016752333,0
"TRANCE",0.124375737589225,0.0985975192273492,0.20766261642239,0
"HGF",0.0884724845197477,0.0745476557072235,0.235806646724786,0.0141252080675598
"IL12B",0.125465963543007,0.129856663748519,0.334272019354525,0
"IL24",0.0881318242096976,0.129191873297484,0.495638096388547,0.0100384144805608
"IL13",0.123204814260417,0.165827319993648,0.457676743599494,0
"ARTN",0.0412530859155597,0.0964637254328298,0.668943804865966,0
"MMP10",0.309442818684506,0.113550076014235,0.00671061557344617,0
"IL10",0.0559476840359853,0.140344171359137,0.690707449666924,0.0032445890455031
"TNF",0.130232294115958,0.152195794682583,0.392417103755537,0
"CCL23",0.091283879067352,0.226335354845868,0.688457703774763,0.00231524277953164
"CD5",0.0601167479085023,0.0863750142957972,0.486581444611085,5.6095629433263e-20
