"","coef","pval"
"IL8",-0.0256964904524487,0.897796807733601
"VEGFA",0.133668711384294,0.21189262607735
"CD8A",0.14445030215765,0.661706232177363
"MCP3",0.123285538325466,0.268785733818642
"GDNF",0.100770612059502,0.203764284798079
"CDCP1",0.217432455655116,0.0151564908433145
"CD244",0.0617933445911044,0.406273904479788
"IL7",0.0637392573925115,0.592194805313891
"OPG",0.118439478279831,0.109094049205701
"LAPTGFbeta1",0.122206381663975,0.206271032632691
"uPA",0.142327138041469,0.0797722957219979
"IL6",0.503153077153184,0.00120957023026127
"IL17C",0.154634397177174,0.110425289135927
"MCP1",0.22918417767974,0.161549495446688
"IL17A",0.045269611538157,0.708895533255781
"CXCL11",0.0311916284964711,0.887745370343964
"AXIN1",0.272437139894533,0.100513593826092
"TRAIL",0.126096209951238,0.467324889631359
"IL20RA",0.0784887372935581,0.35819691025516
"CXCL9",0.0965128116864022,0.636599103931881
"CST5",0.142293018340575,0.19987548005802
"IL2RB",0.132867847877497,0.139797330074831
"IL1alpha",0.111415272345335,0.236052582951962
"OSM",-0.039790741015936,0.783888680505659
"IL2",0.0446687033028615,0.478723632422203
"CXCL1",0.115321092632866,0.657088227795068
"TSLP",-0.0240553926386276,0.758908727317589
"CCL4",0.129703673500747,0.493492677774535
"CD6",0.0067956035529754,0.950765767915772
"SCF",0.024168693599112,0.897307912976562
"IL18",-0.0316950514107821,0.825848307748199
"SLAMF1",0.0429763452318819,0.516278838650392
"TGFalpha",-0.00983790999183891,0.933668360024238
"MCP4",0.0901618787118944,0.712388207299262
"CCL11",0.265898074601215,0.200828450624451
"TNFSF14",0.00822482225369505,0.946445837616124
"FGF23",0.0770313952699349,0.501506534836483
"IL10RA",0.140441303715084,0.275506139023939
"FGF5",0.0569712888012031,0.346380498047155
"MMP1",0.145041148648784,0.531293819821263
"LIFR",0.166192312593309,0.0239128573212554
"FGF21",0.294539016819335,0.221597591317078
"CCL19",0.424798196579375,0.109055693756268
"IL15RA",0.0911276620556029,0.164212068180735
"IL10RB",0.0919670719564906,0.22406051677139
"IL22RA1",-0.0510218151954449,0.57500843062921
"IL18R1",0.153211029119489,0.0811628066691681
"PDL1",0.056005798624157,0.517001209339787
"BetaNGF",-0.00854778789030244,0.744354205287073
"CXCL5",0.00537736936729101,0.986650016752333
"TRANCE",0.124375737589225,0.20766261642239
"HGF",0.0884724845197477,0.235806646724786
"IL12B",0.125465963543007,0.334272019354525
"IL24",0.0881318242096976,0.495638096388547
"IL13",0.123204814260417,0.457676743599494
"ARTN",0.0412530859155597,0.668943804865966
"MMP10",0.309442818684506,0.00671061557344617
"IL10",0.0559476840359853,0.690707449666924
"TNF",0.130232294115958,0.392417103755537
"CCL23",0.091283879067352,0.688457703774763
"CD5",0.0601167479085023,0.486581444611085
"CCL3",0.0934718079104036,0.569799768422497
"Flt3L",0.15091827674656,0.0756442627674726
"CXCL6",0.198192367617191,0.342934840619109
"CXCL10",-0.0270484662022023,0.91737953920521
"4EBP1",0.378099940759624,0.162486099332159
"IL20",-0.0707482177089553,0.454174094753482
"SIRT2",0.168699870578635,0.402144839612768
"CCL28",0.0513674890582676,0.398921713248548
"DNER",0.0520969732172461,0.47740902537083
"ENRAGE",-0.0803696886104291,0.69753878003
"CD40",-0.0249935084850924,0.740832004489719
"IL33",0.0813987249301038,0.247327936792685
"IFNgamma",0.0690051849559443,0.707086995858634
"FGF19",0.120704194922894,0.56868451944346
"IL4",0.0963191844181872,0.472074685870249
"LIF",0.00817476431996007,0.926670458098507
"NRTN",-0.020814864723496,0.8121937777219
"MCP2",0.0692256381899262,0.74605973262976
"CASP8",0.0823058848561787,0.587520129028151
"CCL25",0.120226278378187,0.576079785886427
"CX3CL1",0.0597154094281741,0.720282748878966
"TNFRSF9",0.177397047709623,0.0511598896411413
"NT3",-0.0767535034116648,0.523003026115014
"TWEAK",0.183215092096554,0.219006987050685
"CCL20",0.366027152575372,0.106176949627347
"ST1A1",-0.0388558446756664,0.827626452020176
"STAMBP",0.121226831822273,0.528175185425141
"IL5",-0.0580069645894226,0.797460869217422
"ADA",0.100511334460907,0.57698367494158
"TNFB",0.0844322713481536,0.479804662466763
"CSF1",0.0784659037038984,0.127229372357783
