"","coef","pval"
"IL8",0.150211524860211,0.492504561438445
"VEGFA",0.0481094990033819,0.651474376949771
"CD8A",-0.50160699782307,0.108483398666588
"MCP3",0.0258444760542878,0.815552622669142
"GDNF",-0.0630643378888459,0.435765836009214
"CDCP1",0.090388276064151,0.327589823109623
"CD244",-0.018835683330462,0.804147255021939
"IL7",0.064509114846601,0.5896049032
"OPG",0.0136215272033557,0.85772963890782
"LAPTGFbeta1",0.0645290161792683,0.508101770369097
"uPA",-0.103714700454171,0.20827261705182
"IL6",0.1161034249794,0.441148079903307
"IL17C",-0.0369442237103208,0.681481932882901
"MCP1",-0.0908758145790475,0.588061253515586
"IL17A",-0.0990100382532877,0.407328825065738
"CXCL11",-0.193117087176589,0.384307992391585
"AXIN1",0.0874949793513795,0.581889243270059
"TRAIL",-0.235972645990491,0.172355190107419
"IL20RA",-0.0044452788627338,0.959147122984955
"CXCL9",-0.207572989222425,0.29525770899772
"CST5",-0.0634670377061712,0.585495184821091
"IL2RB",0.0884446523295595,0.357776854562796
"IL1alpha",0.0955979282440743,0.308441515910553
"OSM",0.151066732996863,0.296003979582439
"IL2",-0.0253328660699299,0.682482366733942
"CXCL1",0.104547136913235,0.688371108895524
"TSLP",-0.0963312875011482,0.225758922475834
"CCL4",-0.154972763858334,0.39930621361642
"CD6",0.0509567512370084,0.641456078208162
"SCF",-0.470071988842642,0.018380779365875
"IL18",-0.127519590522487,0.37736273789679
"SLAMF1",0.032874234312654,0.622367773657723
"TGFalpha",0.0419123546742248,0.716586306234601
"MCP4",-0.0981027593052768,0.68290547098743
"CCL11",-0.1623220011508,0.426687772546933
"TNFSF14",0.0984361873316323,0.445843453028779
"FGF23",-0.156244006243233,0.166982804152568
"IL10RA",-0.137846610625223,0.265162546980562
"FGF5",-0.0668487529159484,0.248089022652161
"MMP1",-0.179238588272753,0.449604857148158
"LIFR",-0.0608361964356916,0.409416428981163
"FGF21",0.0728992694043561,0.754418075073637
"CCL19",-0.1521654896008,0.559232792816993
"IL15RA",0.10903213298974,0.110011070289645
"IL10RB",-0.0561846709377649,0.460978238757747
"IL22RA1",-0.0758228469512784,0.437629522498378
"IL18R1",-0.0533735004644316,0.547236743922456
"PDL1",0.0156099360213151,0.859064567832094
"BetaNGF",0.0396962525311213,0.199605729636749
"CXCL5",0.141967210780783,0.655536654250823
"TRANCE",-0.0807556765029658,0.42410683256201
"HGF",-0.00079486892335355,0.991481240131627
"IL12B",-0.128897923529716,0.319177590407009
"IL24",-0.281267797461457,0.0267933619005819
"IL13",0.021007554438143,0.900659085044836
"ARTN",0.200525269850944,0.048503769429975
"MMP10",-0.106842019329379,0.336570470854623
"IL10",-0.0891021069497349,0.52647752880779
"TNF",0.0639554762466651,0.677236043286939
"CCL23",-0.12332279180419,0.57346955913898
"CD5",-0.0471069827370432,0.592646395121807
"CCL3",-0.156629666408604,0.331368714979557
"Flt3L",0.0437220822549056,0.600021210755774
"CXCL6",-0.192449532068287,0.354553319519364
"CXCL10",-0.315327806663126,0.210165747761239
"4EBP1",0.0134812754725302,0.95753935281022
"IL20",-0.106148404871532,0.25497744555302
"SIRT2",0.111812662309123,0.570841981722816
"CCL28",0.0289899617763095,0.623945019403626
"DNER",-0.0850968228764069,0.250227281043505
"ENRAGE",0.157700637494893,0.447705165942909
"CD40",0.0899629132129921,0.23779764114827
"IL33",-0.0834416099427973,0.174745091772948
"IFNgamma",-0.0925898231278366,0.635265881956404
"FGF19",0.0554646514217895,0.795151774198022
"IL4",-0.028256209037536,0.801926976072921
"LIF",-0.0114825320217589,0.890809247704738
"NRTN",0.0168186953567775,0.845032635429624
"MCP2",-0.141552437451791,0.50560092062403
"CASP8",0.0572605130728464,0.707633332609647
"CCL25",-0.127027706759023,0.534805080161022
"CX3CL1",-0.220612042153835,0.197266093950607
"TNFRSF9",-0.0653123675291748,0.459267293515417
"NT3",-0.21174204527741,0.0804936162365143
"TWEAK",-0.139994317883334,0.325199757093034
"CCL20",-0.1127713387317,0.60210540666897
"ST1A1",0.00218394011925506,0.990042431994392
"STAMBP",-0.0645634106440507,0.730782092532695
"IL5",-0.0441504844422283,0.84680265844421
"ADA",0.00678504855534414,0.968347233872483
"TNFB",-0.173816620473091,0.14219434268671
"CSF1",0.00420893152473198,0.933867185546318
