"","coef","coef.se","pval","plate.id"
"IL8",0.126287970159531,0.122337146803646,0.302465356980388,0.0108273989242132
"VEGFA",-0.0301573994762471,0.0532034818960023,0.57087939987165,0.0119030599689761
"CD8A",-0.0577177949544614,0.161356886845928,0.720579866354176,0.0216708144095365
"MCP3",0.0372398439184589,0.0572537048589297,0.515506626488961,0
"GDNF",0.0720355191017204,0.0401729360659012,0.0733274805047259,0
"CDCP1",0.128644251233347,0.0542787451576166,0.0180468605863315,0
"CD244",-0.0266963614183628,0.0386883407611846,0.490255698704035,0
"IL7",0.0906366413457376,0.0580083165452531,0.118542201160848,0
"OPG",-0.0125649657161074,0.0409233251021693,0.758824380668058,0
"LAPTGFbeta1",-0.00567234505749858,0.0496375112823634,0.909019988260938,0
"uPA",-0.0670165146087868,0.0414915296707518,0.106643099252262,0.00594476405320415
"IL6",0.0512127605075337,0.0871774680768613,0.556954362144072,0
"IL17C",-0.0391746840302312,0.0537955292934752,0.466613776065869,0.00279458526595817
"MCP1",0.0101561143712863,0.0904123744862901,0.910598296095578,0.0115747553796434
"IL17A",-0.133422162136251,0.0619168454316941,0.0314927957362903,0
"CXCL11",0.0398338135449247,0.115451977488155,0.730088220705842,0
"AXIN1",0.0682909252163627,0.0817553134963704,0.403710292036533,0.00405605333478775
"TRAIL",-0.0500902973243686,0.0874206322266084,0.566757187113127,0.0249414832774572
"IL20RA",0.00208830295483708,0.0424745917486608,0.960787098211878,0
"CXCL9",-0.00482445069601007,0.102941254544266,0.962620014514837,0
"CST5",0.0425026688609571,0.0623845994983868,0.495762959702617,0
"IL2RB",0.020165759958916,0.0443631869033539,0.649471683364444,0.0037115029555087
"IL1alpha",0.0904328847185118,0.0522874898876538,0.0840915129962141,0
"OSM",0.0324002165000437,0.0833692587443269,0.697564679240024,0.00359726582607405
"IL2",0.0220542094977004,0.0295636395097214,0.455846137235667,0.000583486286289487
"CXCL1",0.226459403733095,0.132741243795056,0.0883814102158733,0
"TSLP",0.00659237401215743,0.0398963582150246,0.868758510125606,0
"CCL4",0.0126678995529116,0.0984824719210869,0.89765463046178,0.00726788047682825
"CD6",0.0293322697778184,0.0587374461607196,0.617623166723533,0.0231099154973803
"SCF",-0.0399885317901452,0.103090906496017,0.698179033038894,0.0163180550632088
"IL18",0.0188425172576431,0.0737795314775202,0.798434321024067,0.00199802779174015
"SLAMF1",-0.0122383792225584,0.0329632597716729,0.710449527986191,0
"TGFalpha",0.082598351442887,0.0623553537382949,0.185614114561628,0.0224886372396888
"MCP4",-0.00988503081427058,0.131321067773748,0.940046248778532,0.00624055720667415
"CCL11",0.030891751693956,0.103264048157992,0.764899726536265,0.0079737269581771
"TNFSF14",0.0636926883648654,0.0734324079456881,0.385919207011888,0.0040758193474744
"FGF23",0.0173643348072968,0.0552083134859669,0.753132808063685,0
"IL10RA",0.0827724238734412,0.0647505708042459,0.202081281586504,0.00115439377394624
"FGF5",-0.031404195641272,0.0315073696903537,0.319094078264205,0
"MMP1",-0.0463625305077334,0.118722496738221,0.69631555827701,0.00358731339091244
"LIFR",-0.0104965589707671,0.0392783204429212,0.789367843648649,0.00171442529610485
"FGF21",0.0803993820089681,0.127499837635468,0.528379407030934,0
"CCL19",0.133032866476005,0.13893898991555,0.338500409805092,0.00456759587696836
